기준시간,원본시간,제목,미리보기
1일 전,1분 전,"이재명, '사피엔스' 저자와 인공지능 논한다…대담 계획","17일 정치권에 따르면 민주당은 오는 22일 오후 이 대표가 국회에서 하라리 교수를 만나 '인공지능(AI) 발전과 인류의 대응'을 주제로 대담을 가질... 이 대표는 이달 초 AI 전문가들과의 대담에서 ""한국에 엔비디아 같은 회사가 하나 생긴다면 70%는 민간이 가지고 30%는 모든 국민이 나눠 굳이 세금에 의존하지..."
1일 전,2시간 전,"잡코리아 '원픽 프리미엄', 지난해 연간 매출의 50% 육박",▲[잡코리아 제공] 잡코리아는 '원픽 프리미엄'이 단기간 내에 높은 매출을 기록할 수 있었던 이유로 △고도화된 AI 추천 기술 △전용 인재 풀 활용 △신속한 추천 시스템 △1:1 전담 헤드헌터 배정 △비용 절감 효과 등을 꼽는다. '원픽 프리미엄'은 알고리즘을 지속적으로 개선해 인재 추천의 정밀도를...
1일 전,2시간 전,"아모레퍼시픽 메이크온, 스마트 뷰티 디바이스 '스라테 3S' 출시",아모레퍼시픽 인공지능(AI) 뷰티 디바이스 전문 브랜드 메이크온은 홈 케어 디바이스 '스킨 라이트 테라피 3S'를 출시한다고 17일 밝혔다. 스킨 라이트... makeON은 세계 최대 IT·가전 전시회(CES) 2025에서 화제를 모은 아모레퍼시픽의 독자 개발 기술 ' 피부 분석 및 케어 솔루션'을 정식 탑재했다....
1일 전,2시간 전,"이재명, 22일 유발 하라리와 'AI 대담'…20일엔 이재용과 회동",이재명 더불어민주당 대표가 오는 22일 이스라엘 출신의 세계적 석학으로 '사피엔스' '호모데우스' 등의 저자 유발 하라리 히브리대 역사학과 교수와 인공지능(AI)을 주제로 대담을 나눈다. 17일 민주당에 따르면 이 대표는 22일 오후 6시부터 국회 사랑재에서 하라리 교수와 '의 발전과 인류의 대응'이라는...
1일 전,2시간 전,"EBS 인공지능 학습 시스템 'AI 단추 플러스'…""AI 교과서 연계 가능""","교육부가 한국교육방송공사(EBS)의 초·중·고교생 대상 인공지능(AI) 기반 자기 주도 학습 지원 시스템인 'AI 단추 플러스'에 대해 향후 인공지능 디지털 교과서(AIDT)와 연계 가능성을 시사했다. AIDT는 학생 별 맞춤 학습을 위해 AI 기슬 등을 활용해 만들었다. 올해 신학기부터 영어와 수학, 정보 교과에서..."
1일 전,2시간 전,"위븐, 네이버 모두 홈페이지 종료 앞두고 소상공인 대상 무료 홈페이지...","이번 선정은 네이버의 '모두(Modoo)' 홈페이지 서비스가 2025년 6월 종료됨에 따라 폐쇄 위기에 놓인 소상공인들에게 AI(인공지능) 웹사이트 생성과 편집... 특히 위븐 측은 자체 개발한 AI 모델을 활용해 웹사이트를 생성하며, 피그마형 웹제작 도구를 통해 사용자가 쉽게 웹사이트를 편집할 수 있는 기능을..."
1일 전,2시간 전,"호반그룹, '2025 호반 넥스트 스타트업공모전' 개최...혁신기업 발굴 나...","등) ▲숙박/레저/유통(AI 수요예측, 스마트골프장, 자원순환 등) ▲제조(스마트공장, 신재생에너지) ▲신사업(Ag-TECH, AI, 모빌리티, ESG 등) 등 네 가지로 나뉜다. 참가를 원하는 기업은 서울경제진흥원 '스타트업플러스'를 통해 신청할 수 있다. 상반기 공모전에서는 서류 및 발표 평가를 통해 4개 기업을..."
1일 전,2시간 전,"호반그룹, '2025 호반 넥스트 스타트업 공모전' 개최","공모전 모집 분야는 ▲스마트시티(건설로봇, 건설 혁신, 에너지 신기술, 건설 신자재 등) ▲숙박·레저·유통(AI 수요 예측, 스마트 골프장, 자원순환 등) ▲제조(스마트 공장, 신재생에너지) ▲신사업(Ag-TECH, 인공지능(AI), 모빌리티, ESG 등)이다. 참가 희망 기업들은 4월 7일 까지 서울경제진흥원 '스타트업플러스..."
1일 전,2시간 전,"하나은행, 글로벌파이낸스 선정 ‘2025 대한민국 최우수 무역금융 은행...","혁신기술과 AI 기반 솔루션을 통한 탁월한 서비스를 제공하는 등 무역금융 활성화에 기여한 점이 높이 평가됐다”고 선정 이유를 밝혔다. 하나은행... 도입, AI 기반 솔루션을 통한 효율성과 투명성 강화를 바탕으로 수출입 업체들의 편의를 위한 다양한 서비스 제공을 위해 지속적으로 노력하겠다”고..."
1일 전,2시간 전,"영덕군, 해상 밀입국 차단을 위한 군·경 합동 순찰 실시","김광열 영덕군수는 ""해양 밀입국은 국가 안보와 해상 치안에 심각한 위협이 될 수 있으므로, 군과 해경 등 관련 기관들과 긴밀히 협력해 취약지역을 면밀히 순찰하고, 향후 정보 공유를 강화해 체계적인 관리를 할 계획""이라고 말했다 대구일보기자"
