기준시간,원본시간,제목,미리보기
1일 전,1분 전,"비트코인 보유량, 북한이 세계 3위?...""1조6천500억원 추정""","17일(현지시간) 세계 최대 코인 거래소 바이낸스가 운영하는 바이낸스 뉴스, 가상화폐 데이터 제공업체 아크햄인텔리전스 등에 따르면 북한의 해킹 조직 라자루스가 현재 11억4천만달러(1조6천500억원)에 달하는 1만3천562 비트코인(BTC)을 보유하고 있는 것으로 추정됐다. 이는 미국(19만8천109 ), 영국..."
1일 전,1일 전,"美 하원, 트럼프의 '100만 BTC 매입' 법안 제출…비트코인 시장 출렁이나","도널드 트럼프 대통령이 서명한 비트코인(BTC) 준비금 대책을 법적 기반으로 만들기 위한 법안이 미국 하원에서 제출됐다. 16일(현지시간) 코인포스트에... 이 법안은 트럼프 행정부가 추진하는 ‘100만 BTC 매입’ 정책을 법으로 공식화하는 것을 목표로 하며, 향후 정권 교체에도 해당 계획이 지속될 수 있도록..."
1일 전,1일 전,"트럼프의 비트코인 전략, 과연 게임 체인저가 될까","이에 따라 해당 암호화폐들이 일시적으로 급등했으며, 한 트레이더는 BTC와 ETH에 50배 레버리지를 걸어 160만 달러의 수익을 거둬 내부자 거래 논란이 일기도 했다. 하지만 이후 S&P 500 지수가 3% 하락하며 주요 암호화폐 역시 하락했고, 행정명령 발표 직후 도 1.9% 하락했다. 이는 거시경제 불안과 함께..."
1일 전,1일 전,"암호화폐 시장, 24시간 동안 6,740만 달러 청산…롱 포지션 73%","암호화폐 청산 데이터 / 코인글래스 코인별로는 비트코인(BTC) 관련 포지션이 가장 많이 청산되었다. 24시간 동안 비트코인 포지션에서 약 1,111만 달러가 청산되었으며, 4시간 기준으로는 약 809만 달러의 청산이 발생했다. 이더리움(ETH)은 24시간 동안 약 1,062만 달러의 포지션이 청산되었으며, 4시간..."
1일 전,1일 전,"클리어스트림, 기관 대상 BTC·ETH 수탁 서비스 개시","서비스는 자회사인 크립토파이낸스(Crypto Finance)를 통해 제공되며, 해당 회사는 서브커스터디(하위 수탁기관) 역할을 맡아 직접 비트코인(BTC)과 이더리움(ETH)의 보관과 정산을 지원할 예정이다. 초기에는 클리어스트림 뱅킹SA(Clearstream Banking SA)의 기존 계좌 기반 고객 2500곳을 대상으로 서비스를..."
1일 전,1일 전,"비트코인 1억2380만 원대 하락, 미국 관세 정책에 '추가 하락' 전망 나와",16일 오후 12시36분 비트코인이 1BTC당 1억32380만6천 원에 거래됐다. 16일 오후 12시36분 기준 가상화폐거래소 빗썸에서 비트코인은 24시간 전보다 1BTC(비트코인 단위)당 1.70% 내린 1억2380만6천 원에 거래되고 있다. 이날 빗썸에서 거래되는 가상화폐 시가총액 상위 10개 종목 가격 흐름이 엇갈리고 있다....
1일 전,1일 전,"비트코인 반등, 두 가지 리스크와 두 가지 기회","암호화폐 대장주 비트코인(BTC)이 반등을 시도하고 있지만, 85,000달러 저항선을 돌파하지 못한 채 불안한 흐름을 보이고 있다. 16일(현지시간) 암호화폐 전문매체 크립토뉴스에 따르면, 비트코인은 이날 84,525달러까지 상승했으나 여전히 연중 최고점 대비 22% 하락한 상태다. 한편, 글로벌 금융 시장에서는..."
1일 전,1일 전,트럼프 관세 정책 발표에 비트코인 하락… 추가 조정 온다?,"이번 관세 조치로 인해 글로벌 금융 시장 전반에 위험 회피 심리가 확산되면서, 비트코인(BTC)을 비롯한 주요 디지털 자산이 단기적으로 하락세를 보였다. 암호화폐 투자자들은 특히 미 달러화의 강세와 함께 시장의 불확실성이 커지는 점을 우려하고 있다. 이번 발표 이후 비트코인 가격은 8만 달러에서 7만..."
1일 전,1일 전,"美 하원, 트럼프의 '비트코인 전략 비축' 법안 발의…상원안과 차이점은...","미국 하원이 비트코인(BTC) 전략 비축을 법제화하는 법안을 추진하고 있다. 그러나 상원의 법안과는 중요한 차이점이 있다. 16일(현지시간) 암호화폐... 이 법안은 상원의 신시아 루미스(공화당·와이오밍) 의원이 발의한 '비트코인법(Bitcoin Act)'과 달리, 특정 금액의 를 구매하도록 명시하지 않았다. 루미스..."
1일 전,1일 전,흔들리는 비트코인 시장...백악관은 더 많은 BTC 매입 시사,"도널드 트럼프 미국 대통령의 '전략적 비트코인 비축' 발표 이후, 암호화폐 시장이 요동치고 있다. 거시경제 불확실성이 커지면서 비트코인 가격은 하락세를 보이고, 투자 심리 또한 위축되는 모습이다. 그러나 백악관은 오히려 비트코인 추가 매입을 추진하며 상반된 행보를 보이고 있어 시장의 이목이..."
1일 전,1일 전,"비트코인 하락에도…톰 리 ""올해 최고의 투자 자산은 BTC""","펀드스트랫(Fundstrat) 공동 창립자인 톰 리(Tom Lee)는 최근 비트코인(BTC) 하락에도 불구하고 여전히 올해 최고의 투자 자산으로 BTC를 꼽았다. 그는 2025년 비트코인이 금을 능가하는 성과를 기록할 것이라고 전망했다. 16일(현지시간) 암호화폐 전문매체 비트코인닷컴뉴스에 따르면, 톰 리는 비트코인이..."
1일 전,1일 전,"파이코인(Pi Network), 'PI도메인' '상실' 변수로...3달러는?","비트코인(BTC), 이더리움(ETH), 리플(XRP), 솔라나(SOL) 등이 손실을 기록할때도, 파이코인은 시가총액 기준으로 11위에 오르며 1달러 이상을 유지하고 있다. 파이코인은 상승세를 유지하며 투자자들의 이목을 끌고 있다. 특히, 파이코인의 채굴에 대한 관심이 여전히 높다는 점이 주목된다. 그러나 채굴에 대한..."
1일 전,1일 전,[코툰] 美 유권자 2명 중 1명 ‘BTC 비축안’ 반대,"미국 유권자 2명 중 1명 이상이 정부의 BTC 비축안에 반대하는 것으로 나타났다. 더블록에 따르면 여론조사 기관 데이터포프로그레스(Data For Progress)는 “응답자의 51%가 이같이 답했으며, 34%만이 비축안에 찬성한다고 답했다. 자신을 공화당원이라고 한 응답자 중에는 41%가 찬성, 민주당원은 29%가..."
1일 전,1일 전,"트럼프 행정부 AI·암호화폐 특임관, 2억 달러 규모 코인 투자 정리… 배...","15일 코인포스트는 이 같은 사실을 보도하며, 삭스가 비트코인(BTC), 이더리움(ETH), 코인베이스(COIN) 주식 등을 포함한 광범위한 포트폴리오를 정리했다고 전했다. 트럼프 행정부 내에서 이 같은 대규모 자산 정리는 이례적인 결정으로, 이해 충돌 방지를 위한 조치로 해석된다. 삭스는 실리콘밸리 벤처캐피털..."
1일 전,1일 전,암호화폐 전문가들이 꼽은 '3월 마감 전 매도 고려해야 할 알트코인 5가...,"올해 초 비트코인(BTC) 가격은 10만 9100달러까지 치솟았다가 현재 8만 4000달러 선에서 등락을 반복하며 큰 변동성을 보이고 있다. 이 같은 비트코인의 변동성은 다른 알트코인들에게도 영향을 미치며, 일부 코인은 수 주째 하락세를 보이거나 급격한 가격 붕괴를 겪고 있다. 이에 코인게이프는..."
1일 전,1일 전,"비트코인, 진짜 인플레 헤지? 선진국과 신흥국 극명한 온도 차","비트코인(BTC)이 인플레이션 헤지 수단으로 자리 잡았다는 주장과 달리, 그 효과는 거주 지역에 따라 달라진다는 분석이 나왔다. 특히, 선진국에서는 인플레이션 대응 능력이 불확실하지만, 신흥국에서는 명확한 대안이 되고 있다는 평가다. 16일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면..."
1일 전,1일 전,"나라에 따라 달라지는 암호화폐 비트코인의 인플레이션 헤지 역할, 구체...",암호화폐(가상자산·코인) 비트코인(BTC)이 인플레이션을 헤지(hedge)하는 자산이라는 주장은 오랫동안 이어져 왔다. 특히 21만 개로 정해진 고정... 비트코인 지지자들은 BTC의 희소성이 기존 법정화폐보다 가치 저장 수단으로 우월하다고 주장한다. 중앙은행이 필요할 때마다 찍어내는 법정화폐와 달리...
1일 전,1일 전,"HK 아시아 홀딩스, CEO에 존 리긴스 선임…비트코인 매거진 아시아 확장...","3월 14일부로 새 CEO로 선임된 존 에드윈 리긴스(John Edwin Riggins)는 UTXO 비트코인 에코시스템 펀드 설립자이자 BTC Inc(비트코인 매거진 모회사)의 파트너로, 지난 9년간 아시아 시장 내 비트코인 매거진 확장을 주도해 왔다. 이와 함께 소라벤처스(Sora Ventures) 창립자인 제이슨 팡(Jason Fang)이 회장직에 올라..."
1일 전,1일 전,알트코인 시즌 '종말'?... 비트코인 점유율 상승 속 역사 속으로 사라지...,사진=코인텔레그래프 지난 2023년부터 비트코인(BTC) 점유율이 꾸준히 상승하면서 알트코인 시장이 위축될 수 있다는 우려가 제기되고 있다. 15일(한국시간) 암화화폐 전문 매체 코인텔레그래프에 따르면 과거 투자자들이 위험성이 높은 알트코인으로 자금을 옮기며 나타났던 알트코인 시즌이 이제 디지털 자산...
1일 전,1일 전,"비트코인, 85,000달러 저항에 또 막혔다! 하락장 오나?","비트코인(BTC)이 85,211달러 저항선 돌파에 실패하며 기술적 약세 신호가 포착되고 있다. 상승 모멘텀이 둔화되면서 매도 압력이 증가하는 가운데, 추가 조정 가능성이 제기되고 있다. 16일(현지시간) 암호화폐 전문매체 비트코이니스트에 따르면, 비트코인은 85,211달러 돌파를 시도했으나 지속적인..."
1일 전,20시간 전,"XRP, 280% 급등 후 조정…분석가, 15달러 강세장 예고","16일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, 시장 분석가 알리 마르티네즈(Ali Martinez)는 XRP가 대형 대칭 삼각형 패턴을 형성하고 있으며, 이를 기반으로 15달러까지 상승할 가능성이 있다고 주장했다. XRP는 올해 초 반등을 시도했으나 강한 저항에 부딪히며 3월 11일 2달러 이하로 하락했다...."
1일 전,20시간 전,"비트코인 하락은 단순 조정? ""4년 주기 여전히 유효""","비트코인(BTC)이 109,000달러의 역대 최고가 대비 22% 하락했지만, 시장 분석가들은 이번 조정이 단순한 ‘매도 흔들기(shakeout)’일 가능성이 높다고 진단했다. 16일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면, 비트코인은 전통적인 4년 주기 안에서 조정을 거치는 중이며, 강세장의 종료가..."
1일 전,20시간 전,"암호화폐 시장, 24시간 동안 레버리지 포지션 7770만 달러 청산","암호화폐 청산 데이터 / 코인글래스 코인별로는 비트코인(BTC) 관련 포지션이 상당한 청산량을 기록했다. 4시간 동안 비트코인 포지션에서 약 318만 달러의 롱 포지션과 20만 달러의 숏 포지션이 청산되었으며, 24시간 기준으로는 약 905만 달러의 청산이 발생했다. 이더리움(ETH)은 4시간 동안 약..."
1일 전,21시간 전,"비트코인 8만 4,000달러 유지… 톤코인(TON) 20% 급등","비트코인(BTC)이 주말 동안 8만 4,000달러 선에서 안정적인 흐름을 이어가는 가운데, 톤코인(TON)이 두 자릿수 상승률을 기록하며 시장의 주목을 받고 있다. 지난 한 주 동안 비트코인의 변동성은 상당했다. 월요일 6,000달러 급락하며 8만 달러까지 하락했지만, 이후 반등해 8만 4,000달러를 회복했다. 미국..."
1일 전,21시간 전,"비트코인, 9만4천 달러 돌파 시 강세 전환 가능… 분석가 전망은?","비트코인(BTC)이 하락세를 멈추고 반등하기 위해서는 94,000달러 저항을 돌파해야 한다는 분석이 나왔다. 만약 이 가격대를 넘는다면, 104,000달러까지 상승할 가능성이 크다는 전망이다. 16일(현지시간) 암호화폐 전문매체 데일리호들에 따르면, 가명 분석가 크레더블(Credible)은 최근 유튜브 영상에서..."
