기준시간,원본시간,제목,미리보기
1일 전,1분 전,"충북도의회 이의영 의원, 데이터산업 육성 지원 조례 전부개정안 발의","조례가 시행되면 데이터 기반 혁신으로 스마트 제조, 바이오‧헬스, 반도체 등 핵심 산업과의 연계를 통해 데이터 활용도를 높여 산업 경쟁력이 강화될 것으로 기대된다. 이의영 의원은 ""조례 전부개정을 통해 데이터의 수집‧분석‧활용으로 새로운 가치를 창출하는 데이터 산업이 지역 경제의 핵심으로 자리..."
1일 전,7시간 전,"씨케이솔루션, 코스피 상장 첫 날 68%대 급등[핫스탁]","또 ▲데이터센터 ▲방산 ▲반도체 ▲바이오 등 산업 전방위로 고객사를 확대해 나가고 있다. 전고체 배터리는 전기차와 ESS 뿐만 아니라 휴머노이드, 드론 등 다양한 분야로 적용이 가능해 향후 드라이룸 시스템이 구축되는 이차전지 공정은 더욱 다양화 될 전망이다. 최근에는 AI(인공지능) 산업 성장에..."
1일 전,7시간 전,"미국 ""상호관세 후 양자협상 통해 새협정""…FTA체결 한국도 대상될듯","그러면서 ""트럼프 대통령이 말하고자 하는 것은 두 가지""라며 ""첫째 알루미늄, 철강, 반도체, 자동차 제조 등 핵심 산업에서 트럼프 대통령은 이들 산업을 보호하고 역량을 구축하려면 미국에서 생산할 수 있는 경제적 인센티브를 보장하는 것이라고 믿는다""라고 말했습니다. 그는 또 ""두 번째는 글로벌이다...."
1일 전,7시간 전,"SK스퀘어 자회사 FSK L&S, 미국 통합물류센터 운영 사업 수주",이와 함께 올해 추진 예정인 중국·북미 반도체 낸드 물류 서비스 등 신규 사업을 발판 삼아 올해 매출과 영업이익 모두 큰 폭으로 성장시키겠다는 계획이다. 이번 계약을 통해 FSK L&S는 BOSK 배터리 공장 3곳의 제조 지원을 위한 풀필먼트센터 운영을 담당한다. 이에 BOSK가 생산하는 배터리의 제조 공정...
1일 전,7시간 전,김동선 한화세미텍 '무보수 경영'…SK하이닉스 공급 성과 [재계 레이더...,"한화그룹 3세인 김동관·김동원·김동선 3형제가 '3색 경영' 스타일로 경영에 나선 가운데, 반도체 장비 회사 한화세미텍에 무보수로 합류한 김동선... 특히 이번 성과로 한화세미텍은 글로벌 반도체 시장을 선도하고 있는 '엔비디아(NVIDIA) 공급체인'에 합류하게 됐다. 글로벌 HBM 시장은 AI 수요 급증에 따라..."
1일 전,7시간 전,"[공시]한미반도체, 곽동신 회장 자사주 취득","한미반도체는 곽동신 대표이사 회장의 30억원 규모 자사주 취득 계획을 17일 공시했다. 곽 회장이 취득 예정인 주식은 3만4170주로, 취득 단가는... 취득이 완료되면 곽 회장은 2023년부터 총 423억원 규모의 자사주를 사재로 취득하게 된다. 지분율은 33.97%에서 34%로 상승한다. #곽동신 #한미"
1일 전,7시간 전,"'코스피 상장' 씨케이솔루션, 공모가 대비 76%대 상승","총 청약증거금 약 3조7144억원을 모은 것으로 집계됐다. 씨케이솔루션은 2차전지 제조공정에 필요한 드라이룸 시스템 전문기업이다. 삼성SDI, LG에너지솔루션, 현대차, SK온 등 국내외 주요 2차전지 관련 기업들을 고객사로 보유했다. , 방산, 바이오 등 업종으로 고객사를 확대 중이다."
1일 전,7시간 전,"SGC에너지, 김완섭 환경부 장관 등과 CCU 산업 발전 방향 논의",SGC에너지는 현재 생산하는 액화탄산 순도를 한층 높여 반도체급 액화탄산 공급을 위한 설비 고도화도 추진하고 있다. 박준영 SGC에너지 부회장은 “SGC에너지는 CCU 사업을 비롯한 친환경 발전 사업으로 지속 가능한 미래 에너지 전환에 이바지하고 있다”며 “앞으로도 순환 경제 중심의 사업 역량을...
1일 전,7시간 전,"日증시, 美증시 영향으로 상승 출발…닛케이지수 1.08%↑",니혼게이자이신문에 따르면 이날 닛케이지수는 전 거래일 대비 400.73포인트(1.08%) 오른 3만7453.83에 장을 열었다. 이날 도쿄증시는 14일(현지 시간) 미국 뉴욕증시에서 주요 지수가 상승한 영향을 받고 있다. 특히 기술주 중심인 나스닥지수 상승 영향으로 도쿄증시에서는 관련주가 오르고 있다.
1일 전,7시간 전,"에스티아이, ‘사업 고도화 속 실적 개선’ 전망에 3%대 강세[특징주]","남궁현 신한투자증권 연구원은 “메모리 반도체 현물가 반등이 나타났으며 올해 하반기 계절적 성수기 및 수급 환경 개선으로 우호적인 가격 흐름을 기대한다”며 “현재 공정 장비 확대가 과소 평가됐으며, 신규 공정 진입은 기술적 고도화를 의미하는 만큼 밸류에이션 리레이팅 요소라 판단한다”고..."
1일 전,7시간 전,"삼성전자, 저가 매수세 유입에 5% 강세…외인 '사자'","이어 ""특히 기대감이 없던 낸드 또한 샌디스크와 YMTC의 가격 인상 소식이 보도될 정도로 변화가 나타나고 있다""며 ""지난주 필라델피아 반도체 지수는 0.7% 하락했지만 메모리 업체들은 대부분 6~7% 정도 주가가 상승한 점도 눈 여겨 봐야 할 부분""이라고 부연했다. 그러면서 ""오는 20일로 예정돼 있는..."
1일 전,7시간 전,"군포산업진흥원, 유병직 신임 원장 취임","특히 성남산업진흥원에서 콘텐츠, ICT 및 시스템 반도체, 4차 산업 등 다양한 분야의 사업을 이끌어온 경험을 바탕으로 군포시와 군포산업진흥원을 산업경제 중심도시로 발전시킬 적임자로 평가받고 있다. 유 원장은 취임식에서 “현장에 답이 있다”며 “안밖으로 소통과 협업을 통해 군포시 산업경제의 위상을..."
1일 전,7시간 전,[아주칼럼] 춘천 홀리 축제: 강원도-인도 민간 교류의 기회,"또한, 반도체, 바이오, 수소, 미래차 등 강원도의 첨단산업 중심지로서의 비전 실현에도 인도 출신의 고급 기술 인력이 기여할 수 있다. 많은 인도 고급 기술 인력들이 한국에서 일하기를 희망하고 있으며, 강원도는 이를 적극적으로 유치하고 활용하여 혁신 중심 산업을 더욱 발전시킬 수 있다. 강원도와..."
1일 전,7시간 전,"용인시, 용인 반도체클러스터 일반산단 건설에 필요한 레미콘 자재 관내...",용인시 처인구 원삼면에 조성이 진행 중인 용인 반도체클러스터 일반산업단지 공사현장 전경(용인시 제공) 용인특례시는 SK에코플랜트가 처인구 원삼면에서 진행 중인 '용인반도체 클러스터 일반산업단지' SK하이닉스 생산라인(Fab) 기본 공사에 필요한 레미콘(Ready mixed concrete) 자재를 지역내 업체에서...
1일 전,7시간 전,삼성전자 4%↑·반도체 주 동반 상승…GTC 기대감 커져,삼성전자 등 반도체 관련 주가 장 초반 동반 상승 중이다. 엔비디아가 주최하는 'GTC 2025'가 오는 17일(현지시간)에서 열리자 관련 기대감이... 반도체 주가 동반 상승하는 것은 오는 17일 엔비디아가 주최하는 GTC 2025가 열리기 때문이다. 삼성전자와 SK하이닉스는 GTC 행사에 참여해...
1일 전,7시간 전,"삼성 이재용, '독한 삼성인' 주문...""사즉생 각오로 위기 대처해야""","삼성전자는 지난해 반도체 사업에서 범용 메모리 부진과 고대역폭 메모리 납품 지연 등으로 시장의 기대에 못 미치는 실적을 냈습니다. TV 시장 점유율도 2023년 30.1%에서 지난해 28.3%로 떨어졌고, 스마트폰도 19.7%에서 18.3%로 하락했습니다. 다만 미래 준비를 위한 연구개발비와 시설투자비는 지난해 각각 35조..."
1일 전,7시간 전,"“AI 핵심기업에 투자”…삼성자산, ‘글로벌CoreAI목표전환형’ 펀드 ...","채권은 단기 우량채권, 채권형 상장지수펀드(ETF) 및 머니마켓 ETF에 투자해 안정성을 확보하고, 주식은 반도체/인프라, 소프트웨어, 로보틱스 등... AI 반도체/인프라 분야에서는 엔비디아, 마벨 테크놀로지, 버티브 등이, AI 소프트웨어 분야는 팔란티어, 서비스나우, 세일즈포스 등이 주요 투자 대상이다...."
1일 전,7시간 전,[특징주] 젠슨 황의 말 기대하며 삼성전자 급등,"범용 메모리 반도체 가격이 바닥을 찍고 반등하고 있는 점과 더불어 엔비디아와의 협력 가능성을 기대하는 투자자가 많은 것으로 보인다. 황 CEO는 오는 18일(현지시각) GTC 2025 기조연설에 나선다. 그래픽처리장치(GPU) 블랙웰의 성능을 향상한 제품이나, 2026년 출시 예정 제품인 루빈과 관련한..."
1일 전,7시간 전,"“이수페타시스, 1Q 상회·실적 개선 기대…목표가↑”-메리츠","양 연구원은 “올해 연결 영업이익을 기존 대비 8.5% 상향 조정한 1695억원으로 전망한다”며 “인공지능(AI) 가속기 주요 고객사 내 점유율 상승, 800G 수율 개선, 주문형 반도체(ASIC) 신규 고객사 확보 등으로 실적이 개선될 것”이라고 바라봤다. 그는 “AI 가속기 주요 고객사는 제품 전환 과정에서 기판..."
1일 전,7시간 전,2월 ICT 수출 167억달러…대중 반도체 수출 급감에도 역대 두 번째 실적,반도체·디스플레이 부진 속 휴대전화·통신장비 호조 ▲ <이미지=DALL‧E 생성> 지난달 정보통신산업(ICT) 수출액이 167억1000만달러를 기록하며 2월 기준 역대 두 번째로 높은 실적을 올렸다. 16일 과학기술정보통신부에 따르면 2월 ICT 수출은 전년 동월 대비 1.2% 증가했다. (-3.0%)와 디스플레이...
1일 전,7시간 전,나인테크 주가 다시 고개... LG엔솔 독점 파트너십 부각,씨케이솔루션 한빛레이저 파인텍 필옵틱스 케이엔에스 HB테크놀러지 엔시스 피엔티엠에스 우신시스템 이노메트리 디아이티 한울반도체 펨트론 대성하이텍도 상승하고 있다. 나인테크는 LG에너지솔루션의 핵심 공정인 라미·스태킹 장비를 독점적으로 공급하고 있다. 나인테크의 기술력과 안정적인 공급...
1일 전,7시간 전,인천시 세계인이 주목하는 글로벌 관광도시 도약 시동,"인천시가 바이오, 반도체 등 세계인이 주목하는 역점 사업들을 차질없이 추진해 글로벌 관광도시로 도약에 나선다. 17일 시에 따르면 세계 최고의... 바이오·반도체 등 전략산업과 연계한 전시회 및 대규모 기업회의 확대를 추진키로 했다. 한국관광공사 한국관광데이터랩에 따르면, 작년 인천 방문..."
