기준시간,원본시간,제목,미리보기
1일 전,3분 전,돌아온 외인에 환율도 '뚝'…글로벌 금리 빅위크 견딜까 [김혜란의 FX],러시아 우크라이나 종전 기대감이 다시 부상한데다 도널드 트럼프 미 대통령이 임시예산안에 서명하면서 연방정부 일부 업무가 정지되는 '셧다운'은 피하게 되면서다. 유로화 가치 반등도 달러화 가치를 눌렀다. 독일에선 차기 연립정부 구성 협상을 보이고 있는 정당들이 5000억 유로 규모의 인프라...
1일 전,1일 전,우크라 ‘30일 휴전’ 시간 끄는 푸틴···막판 변수 쿠르스크 전황에...,우크라이나 전쟁 종식의 물꼬를 틀 것으로 기대된 ‘30일 임시 휴전안’이 미국과 러시아의 힘겨루기에 표류하고 있다. 러시아가 모호한 태도로 시간... 블라디미르 푸틴 러시아 대통령은 지난 11일(현지시간) 미국과 우크라이나가 합의한 휴전안에 대해 “휴전 자체는 옳다” “(트럼프 대통령 입장을)...
1일 전,1일 전,"이더리움, 속도·UX·확장성 삼중 난제 해결 나서","15일(현지시간) 크립토슬레이트(CryptoSlate)에 따르면, 이더리움 우크라이나 창립자 로스티슬라브 보르트만(Rostyslav Bortman)은 게스트 칼럼을 통해 이더리움이 직면한 3가지 핵심 과제를 제시하고, 이를 극복할 기술적 진전을 분석하였다. 그는 이더리움이 더 이상 단순한 레이어1 체인이 아니라..."
1일 전,1일 전,"[1분컷] '의지의 연합' 29개국, 우크라 평화유지군 논의 속도","우크라이나 전후 안전보장을 지원하기 위한 미국을 제외한 영국과 프랑스가 주도하는 일명 '의지의 연합' 참여국들이 휴전 가능성에 대비해 평화유지군... 15일(현지시간) 로이터 통신 등에 따르면 키어 스타머 영국 총리는 이날 29개국 정상들과 화상회의를 가진 후 기자회견에서 ""우리는 우크라이나의 잠재적..."
1일 전,1일 전,우크라 휴전 무르익는데… 北 포로 국내 송환 ‘감감’,젤렌스키 우크라이나 대통령이 지난 2월 28일(현지 시간) 백악관 집무실에서 회담하고 있다. 이날 정상회담은 설전 끝에 파행으로 조기 종료됐다. AP=연합뉴스 미국과 우크라이나가 11일(현지 시각)) 우크라이나와 러시아 간 전쟁 종식을 논의한 고위급 회담에서 ‘30일 임시 휴전’에 합의하고 이를 러시아에...
1일 전,1일 전,美정부 ‘韓 민감국가 지정-헤그세스 방한 취소’..尹계엄·탄핵 여파,임은정 공주대 국제학부 교수는 “통일연구원의 작년 7월 여론조사상 핵무장 찬성이 66%로 핵무장론이 고조돼 미 측 우려가 커진 건 사실”이라며 “러시아가 우크라이나를 침공하며 핵 위협을 하면서 핵확산금지조약(NPT) 체제가 흔들리고 미국과 유럽의 불안이 커지다 보니 한국 등의 핵무장론에도 민감한...
1일 전,1일 전,러·우 휴전 논의 속 북러 차관회담...'북 포로 송환' 변수?,"러시아와 우크라이나 간 휴전 논의가 이뤄지는 가운데, 북한과 러시아가 외무차관 회담을 진행해 그 배경에 관심이 쏠립니다. 러시아 측이 휴전 관련 입장을 북한에 설명할 거로 보이는데, 특히 우크라이나에 붙잡혀 있는 북한군 포로들의 송환 논의가 있었을 가능성도 제기됩니다. 박희재 기자가 보도합니다...."
1일 전,1일 전,"여야, ‘미국, 韓 민감국가 지정’에 책임 공방","1994년 핵무장을 해제하고 나서 지금 우크라이나가 어떻게 되었는지, 미국의 트럼프 대통령으로부터 어떤 대접을 받고 있는지 전 세계가 두 눈으로 똑똑히 보고 있지 않냐”고 말했다. 그는 “국민의힘은 이 상황에 대해 엄중함을 인식하고 정부와 긴밀히 협의하고 모든 가용한 채널을 동원해 외교적 대응에..."
1일 전,1일 전,"러, 휴전안 수용 않은 채 맹공…젤렌스키 ""전세 우위 노린 지연작전""","'우크라이나 30일 종전안'에 러시아가 모호한 태도를 보이면서 논의가 진전되지 않고 있습니다. 러시아가 의도적으로 휴전을 미루고 있다고 젤렌스키 대통령이 비판을 한 가운데, 실제 러시아는 접전지에서 맹공을 퍼붓고 있습니다. 정래원 기자입니다. [기자] 미국과 가 제안한 '30일 휴전안'이..."
1일 전,1일 전,북한 전력 압도하는…한국형 '극초음속 순항 미사일(HCM)' [밀리터리 월...,실전에서의 사용은 지난해 11월 21일(현지시간) 러시아군이 우크라이나 중부 드니프로를 Kh-47M2 '킨잘'로 공격한 것이 공식 첫 사례다. 그런데 북한이 2021년 9월 공개한 극초음속 미사일 '화성-8형' 이후 여러 차례 추가 시험 발사에 이어 올해 1월 7일 ‘신형 초극음속 중장거리 탄도미사일’ 시험발사에...
1일 전,1일 전,"'30일 휴전안'에 모호한 러시아…""푸틴, 휴전협상 장기화 원해""",러시아가 우크라이나 전쟁의 ‘30일간 휴전안’에 모호한 태도를 유지하면서 미국과 우크라이나가 협상 돌파구를 찾는데 어려움을 겪고 있다. 볼로디미르 젤렌스키 우크라이나 대통령은 15일(현지시간) “러시아는 전황을 더 유리하게 바꾸고 싶어 한다”며 “그것이 휴전이 지연되는 이유”라고 말했다....
1일 전,1일 전,"美 상원의원 “테슬라, 넌 해고야!” 타던 테슬라 폐기 선언","트럼프가 러시아·우크라이나 전쟁 종전 협상을 압박하려 우크라이나에 대한 군사 원조를 일시 중단한 후 미 상원 국방위원회 소속인 켈리는 우크라이나를 방문해 우크라이나 국민에 대한 지지를 표명했다. 머스크는 그러자 지난 10일 X에 “반역자(traitor)”라며 켈리를 비판했고, 켈리 또한 “정부 일을..."
1일 전,1일 전,트럼프 “우크라군 살려달라” 요청에... 푸틴 “항복하면”,"도널드 트럼프 미국 대통령이 러시아와의 휴전 회담 후 블라디미르 푸틴 러시아 대통령에게 우크라이나 군인들의 생명을 살려달라고 요청했다. 이에 푸틴 대통령은 우크라이나군이 항복해야 가능한 일이라고 답했다. 14일 미 abc뉴스에 따르면, 트럼프는 이날 자신의 소셜미디어 ‘트루스소셜’에 올린 글에서..."
1일 전,1일 전,"‘의지의 연합’ 27개국, 푸틴 압박 결의…우크라 평화유지군 배치 논의...","이투데이=이진영 기자 | 영국 스타머 총리 주도 화상회의 20일 군수뇌부 회의서 구체화 전망 미국 ‘적극 지원’ 여부는 불확실 우크라이나 전후... 15일(현지시간) 로이터통신에 따르면 영국·프랑스·캐나다·호주 등 27개국 정상들과 유럽연합(EU), 북대서양조약기구(NATO·나토) 대표들은 이날 종전 후 ..."
1일 전,1일 전,문재인 정부의 '삽질' 생각나게 하는 독일의 탈원전,"코로나 팬데믹에 따른 경기 침체에 뒤이어 발발한 러시아-우크라이나 전쟁으로 에너지 비용이 폭등한 영향이다. 독일산업연합의 2023년 조사에... 그러나 전쟁 이후 유럽은 우크라이나를 지원하며 러시아에 대한 제재에 나섰고, 러시아는 그 반대급부로 유럽으로 향하는 천연가스, 원유 공급을..."
1일 전,1일 전,[연합뉴스 이 시각 헤드라인] - 15:00,"통화하고 우크라이나 종전 협상 문제를 논의했다고 미 국무부가 밝혔다. 국무부는 이날 태미 브루스 대변인 명의로 배포한 자료에서 ""루비오... 앞서 미국과 러시아는 지난달 18일 사우디 수도 리야드에서 우크라이나 종전 방안을 두고 협상을 벌였다. 당시에도 루비오 장관과 라브로프 장관이..."
