기준시간,원본시간,제목,미리보기
1일 전,1분 전,[도쿄환시] 달러-엔 상승…BOJ 결정 주시,그러나 이날 도쿄 주식 시장에서 닛케이225 지수가 상승세를 이어가면서 엔화 매도세에 힘을 실었다. 이날 닛케이225 지수는 장중 1%대의 상승률을 유지하며 강세를 이어갔다. 시장은 BOJ이 이번 주 금리를 동결할 가능성에도 무게를 싣고 있다. BOJ는 오는 18~19일 금융정책 결정 회의를 열고...
1일 전,7시간 전,"의결권 자문기관 ISS, 영풍 주총서 영풍 측 안건 모두 '찬성'","ISS는 영풍이 제안한 재무제표 승인, 주식 액면분할, 사내이사 및 사외이사 선임 등 모든 안건에 대해 찬성을 권고했고, 영풍정밀이 제안한 집중투표제 도입, 현물배당 도입 등에는 ""설득력 있는 근거가 부족하다""며 반대 의견을 냈다. ISS는 집중투표제 도입 안건에 대해 ""소수 주주가 이사회에서 대표성을..."
1일 전,7시간 전,"中 '팹 4'가 뜬다…""美 기술주 스포트라이트 빼앗아""","이들 기술 기업의 주식은 모두 홍콩에서 거래되며, 바이두와 알리바바는 미국에도 상장돼 있다. 팹 4는 비틀즈의 별명이기도 했으며 이들이 세계적인 인기를 끌었던 것처럼 이 네개의 중국 기술 대기업들이 인공지능(AI) 기대감 속에서 급부상하고 있다는 의미다. 지난 13일 S&P 500 지수는 최고치..."
1일 전,7시간 전,"삼성운용, '삼성글로벌CoreAI목표전환형' 펀드 출시","삼성글로벌CoreAI목표전환형 펀드는 채권과 AI 관련 주식으로 구성되며, 투자 비중은 채권 60%, 주식 40% 수준으로 운용될 예정이다. 채권은 단기 우량채권, 채권형 ETF 및 머니마켓 ETF에 투자해 안정성을 확보하고, 주식은 반도체·인프라, 소프트웨어, 로보틱스 등 성장성이 높은 AI 핵심 테마 관련..."
1일 전,7시간 전,"의결권 자문기관 ISS, 영풍 주총서 영풍 측 안건 모두 '찬성'","ISS는 영풍이 제안한 재무제표 승인, 주식 액면분할, 사내이사 및 사외이사 선임 등 모든 안건에 대해 찬성을 권고했고, 영풍정밀이 제안한 집중투표제 도입, 현물배당 도입 등에는 ""설득력 있는 근거가 부족하다""며 반대 의견을 냈다. ISS는 집중투표제 도입 안건에 대해 ""소수 주주가 이사회에서 대표성을..."
1일 전,7시간 전,국립경국대 ․ 노벨리스코리아 알루미늄 산업 분야의 공학인재양성을 ...,"좌측에서 네 번째 국립경국대 정태주 총장, 우측 네 번째 노벨리스코리아 박종화 대표이사 국립경국대학교(총장 정태주)와 노벨리스코리아 주식회사(대표이사 박종화)는 지난 13일 노벨리스코리아 영주공장에서 알루미늄 산업 분야의 공학인재양성을 위한 업무협약을 체결했다. 이날 협약식에는 국립경국대..."
1일 전,7시간 전,"한투운용 ACE 채권혼합 시리즈, 순자산액 7000억 돌파",한국투자신탁운용은 미국 주식과 채권에 투자하는 ACE 채권혼합 상장지수펀드(ETF) 시리즈 3종의 순자산액이 7000억원을 돌파했다고 17일... 주식과 미국 단기 채권 투자 비중을 3대 7로 가져간다. 투자하는 주식 자산이 나스닥100 지수라는 차이점이 있다. 비교지수는 'NASDAQ100 US T-Bills 30...
1일 전,7시간 전,"삼성운용, ‘삼성글로벌CoreAI목표전환형’ 펀드 출시","삼성글로벌CoreAI목표전환형 펀드는 채권과 AI 관련 주식으로 구성되며, 투자 비중은 채권 60%, 주식 40% 수준으로 운용될 예정이다. 채권은 단기 우량채권, 채권형 ETF 및 머니마켓 ETF에 투자해 안정성을 확보하고, 주식은 반도체와 인프라, 소프트웨어, 로보틱스 등 성장성이 높은 AI 핵심 테마 관련..."
1일 전,7시간 전,"키움증권, '2024키움영웅결정전' 수상식 개최","국내주식 부문 1억대회 1위는 '닥터가스레인지'(수익률 188%), 해외주식 부문 1억대회 1위는 '귀찮탱이'(수익률 327%) 차지하며 각각 상금 1억원의 주인공이 됐다. 대회별 1위부터 3위까지는 상패와 상금, 4위부터 10위까지는 상장과 상금이 지급됐다. 대회 기간 최고 수익율은 431.23%로 '해외 3천대회..."
1일 전,7시간 전,"DS투자 ""'자사주 조기매입' 올리브영, CJ와 합병에 힘 실려""","지난 14일 올리브영은 특수목적법인 '한국뷰티파이오니어'가 보유한 자사 주식 11.28%를 조기 인수해 보유 지분을 22.58%로 확대하기로 했다고 밝혔다.... 포괄적 주식 교환을 통한 합병 가능성이 더 높다""고 밝혔다. 김 연구원은 또 ""K-뷰티 절대 강자인 올리브영이 중복 상장하는 대신 사업 지주회사 또는 100..."
